Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,mean,std,n_cells,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes
4931428L18Rik,ENSMUSG00000086727,1,31222684,30997842,-,0.0138,-6.44578634533417e-14,0.003939223155099456,5393,-0.03506958484649658,,,,,,,,,,,,,,,,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.0594,-5.192613644303283e-11,0.41555515214651195,6250,-0.07302737236022949,,,,,,,,,,,,,,,,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0529,2.521015014014631e-11,0.5481592083996886,8136,0.07336443662643433,0.7016672978844565,5.334590439320815,0.34059316500107417,12.870603455970704,0.05297731021419168,0.04832740128040314,0.4310278594493866,0.19602249670538202,0.0,0.0,0.4187385964333711,0.15452580998619406,1.6158303628707755,1.2305083032681619,1.651998438691497,True
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0562,-1.8948827651048183e-11,0.2925039843499297,2976,-1.135132074356079,,,,,,,,,,,,,,,,False
Bend6,ENSMUSG00000042182,1,33907816,33852052,-,-0.0149,1.1467732058946042e-10,0.21367464383405163,1560,-0.5337531566619873,,,,,,,,,,,,,,,,False
Gm37233,ENSMUSG00000102336,1,34433264,34427002,-,-0.0141,3.1799270429011458e-12,0.026471373119761152,26,0.0,,,,,,,,,,,,,,,,False
Ccdc115,ENSMUSG00000042111,1,34439672,34436670,-,-0.0061,-4.931001741011402e-11,0.4630355405283954,7464,-0.004102945327758789,,,,,,,,,,,,,,,,False
Gm28306,ENSMUSG00000101711,1,34444730,34439511,-,0.0015,-2.2449750401173767e-12,0.013291237150868185,2122,-0.0186082124710083,,,,,,,,,,,,,,,,False
Gm28417,ENSMUSG00000100280,1,34473148,34468834,-,-0.0225,8.382395348880892e-12,0.021289024329949342,16,-0.01884281635284424,,,,,,,,,,,,,,,,False
Gm38336,ENSMUSG00000104002,1,34811908,34809360,-,-0.0224,-1.2858133048925552e-11,0.08604470817863821,255,0.0,,,,,,,,,,,,,,,,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0022,-2.3887904176569973e-11,0.42654108683850916,6527,-1.769646406173706,,,,,,,,,,,,,,,,False
Gm37335,ENSMUSG00000104523,1,36106446,36105384,-,0.0018,1.63418257948366e-13,0.008350222360120884,3,-0.029483318328857422,,,,,,,,,,,,,,,,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0156,1.0047339012213657e-10,0.3943751886825823,5526,-0.45295262336730957,,,,,,,,,,,,,,,,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0913,3.529834371684706e-12,0.026955340894962484,27,-0.005673408508300781,,,,,,,,,,,,,,,,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0831,7.693347070660959e-11,0.31996891576558917,3717,-0.48168790340423584,,,,,,,,,,,,,,,,False
Lman2l,ENSMUSG00000001143,1,36445271,36419871,-,-0.026,8.52082022620186e-12,0.08408768005656933,247,-1.9553074836730957,,,,,,,,,,,,,,,,False
Gm38033,ENSMUSG00000102845,1,36528237,36527534,-,0.012,-4.1911976744404464e-13,0.019395679580261924,17,-0.2047741413116455,,,,,,,,,,,,,,,,False
Ankrd23,ENSMUSG00000067653,1,36536883,36530188,-,-0.0432,-5.014056667403983e-11,0.115053703500501,472,-0.07482409477233887,,,,,,,,,,,,,,,,False
Ankrd39,ENSMUSG00000079610,1,36547445,36537507,-,-0.0302,1.7101240052361363e-11,0.3677116778719781,5022,-0.013162732124328613,,,,,,,,,,,,,,,,False
Sema4c,ENSMUSG00000026121,1,36558349,36548639,-,0.004,-5.3155152891252045e-11,0.16092389760260412,958,-0.035814523696899414,,,,,,,,,,,,,,,,False
Fam178b,ENSMUSG00000046337,1,36683183,36562692,-,-0.0144,2.2496148306729247e-12,0.013716521995021689,911,-0.019309163093566895,,,,,,,,,,,,,,,,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0273,-2.1739987464709516e-10,0.4855398029339904,7606,-0.08760714530944824,,,,,,,,,,,,,,,,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0142,-3.9082197351254445e-11,0.4470155338663976,7096,-1.639275074005127,,,,,,,,,,,,,,,,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.0269,-3.177619961612463e-11,0.34607781410659744,4359,-0.01132047176361084,,,,,,,,,,,,,,,,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0198,-1.7718384297084013e-11,0.1556271953653431,833,0.20473551750183105,0.09129677296646661,0.4811568670422158,0.28345172026419885,9.44406164388315,0.905563176340527,0.04423427954316139,0.05508885532617569,0.07947359332885374,0.0,0.0,0.47204584548115347,0.175155979851407,0.2684952034775553,2.110609919548529,2.6530287460786055,True
2010300C02Rik,ENSMUSG00000026090,1,37720085,37611677,-,-0.0197,-3.3221970557032526e-11,0.10846987347242026,415,0.04404091835021973,0.033639305524596534,0.32537602760744777,0.24375974070368006,9.462406712527587,1.422810792028904,0.03626757860183716,0.03226620703935623,0.2061337699105753,0.0,0.0,0.06442561184989978,0.1022556511073049,0.10571839923745599,1.0622357663268398,2.473877158095282,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,-0.013,-2.076373159814533e-12,0.07754733184027883,228,-0.563865065574646,,,,,,,,,,,,,,,,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,-0.0076,-1.2304433539641676e-12,0.2498582745348351,2375,-0.6840773820877075,,,,,,,,,,,,,,,,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.1437,9.341372137876715e-11,0.5490914469375571,8382,-0.015031099319458008,,,,,,,,,,,,,,,,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.1001,3.950492193321206e-11,0.3853470684757384,5335,-1.251795768737793,,,,,,,,,,,,,,,,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0407,-6.152216769820838e-12,0.14536359680011893,661,0.4462546706199646,0.1555835020236848,0.08925174535690741,0.5194393412531797,5.033834029273832,4.242152166366576,0.4089790880680084,0.045552968978881836,0.09492953148350018,0.0,0.0,0.43663367486539517,1.923378581460873,0.1574456935611971,3.0321262039085375,1.123159311497982,False
Lonrf2,ENSMUSG00000048814,1,38836711,38793645,-,-0.0001,-6.2098938020379086e-12,0.06445184760964531,121,0.6881975531578064,0.3274353452550071,1.1383883933123653,0.6314969630129523,4.160579573388069,0.3598188641667366,0.08183485269546509,0.10575656592845917,0.08998825669233541,0.0,0.0,0.26624314226414947,0.19517096909874693,0.2532093329114261,0.5270333869666848,1.0436664713350188,True
Chst10,ENSMUSG00000026080,1,38898161,38863867,-,-0.0133,1.288120386181238e-12,0.020755578232005693,17,0.07517361640930176,0.011009383769264006,0.05297586543608546,0.06266158814411658,20.260885266318073,3.374409055709839,0.06600070744752884,0.026404906064271927,5.893263129241626e-07,0.0,0.0,0.38709778784179705,0.15689520176353225,0.1045608913590168,0.3813869649842197,7.55193042744853,False
Tbc1d8,ENSMUSG00000003134,1,39478755,39371492,-,-0.0535,-4.491118241969212e-12,0.10448368739508655,376,-0.33456313610076904,,,,,,,,,,,,,,,,False
Gm15832,ENSMUSG00000085894,1,39552002,39547570,-,-0.0084,6.459827608311881e-13,0.050462263543216125,97,-0.6838068962097168,,,,,,,,,,,,,,,,False
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,0.035,-1.9194916321841017e-11,0.18560606079352204,1284,-0.9702157974243164,,,,,,,,,,,,,,,,False
Creg2,ENSMUSG00000050967,1,39651474,39618406,-,0.0187,1.1958371346339254e-12,0.016713012466905007,13,0.012383878231048584,0.17242442338875164,12.804949981467988,5.164018376883571,2.6230047308329874,0.581031046807766,0.004014122299849987,0.009326635859906673,0.0015060857863781146,0.0,0.0,5.326784383144988e-11,0.012646432067673168,0.02339606769864672,1.7880503452904695,0.12527618700693685,True
1700066B17Rik,ENSMUSG00000101634,1,39847334,39839175,-,-0.0053,-6.996982520984531e-13,0.009280808272151227,9,0.0034725069999694824,,,,,,,,,,,,,,,,False
Gm16894,ENSMUSG00000097899,1,40085851,40076228,-,-0.0162,-7.228854704539485e-12,0.038045266978913285,60,-0.08314228057861328,,,,,,,,,,,,,,,,False
Mfsd9,ENSMUSG00000041945,1,40790687,40772038,-,0.01,6.6136330275574014e-12,0.05486326062937811,104,-0.04221510887145996,,,,,,,,,,,,,,,,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0142,6.053781301503705e-11,0.21153797586515208,1625,-0.3435424566268921,,,,,,,,,,,,,,,,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.0454,-2.079802540021773e-10,0.5545789279836956,7587,0.3051871657371521,0.641197752891061,0.9258493911113487,0.3200170816716038,12.142929648858301,0.21378679722547528,0.1799648106098175,0.39143499732017517,0.22949774739312712,0.0,0.0,0.4521340413757949,0.7049695286150264,1.3297053143895905,1.0346787666258312,2.267797079936697,True
Gm29155,ENSMUSG00000100764,1,43743895,43741961,-,-0.0127,-3.19146244934456e-13,0.024129529851497116,18,-0.07593357563018799,,,,,,,,,,,,,,,,False
Gm29156,ENSMUSG00000100480,1,43746282,43745784,-,0.0142,1.4842222957192773e-12,0.033842287888706586,40,0.0,,,,,,,,,,,,,,,,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0196,7.772556861572401e-11,0.41207480638653854,6147,-0.42267370223999023,,,,,,,,,,,,,,,,False
Gm8251,ENSMUSG00000091844,1,44079746,44055872,-,-0.0426,-5.3155152891252045e-11,0.31114275289207866,2115,0.05940145254135132,0.5773857623765201,7.847653733075096,0.3221153344821014,3.02780396862249,0.0675332320885112,0.013583228923380375,0.23817618191242218,1.8295303859249556e-09,0.0,0.0,0.4949195238888131,0.06066434343441653,1.3391585650388151,3.916833028735062,1.819417133566842,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.0443,-1.0766379347186467e-11,0.5360961331463212,8343,-0.18062913417816162,,,,,,,,,,,,,,,,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0026,9.109125954815979e-12,0.40592618493987326,5898,-0.2523531913757324,,,,,,,,,,,,,,,,False
Col5a2,ENSMUSG00000026042,1,45503282,45374321,-,0.1975,-4.540335976127779e-11,0.11759646363551973,212,0.9218592271208763,1.6237854877766635,1.235116353808,0.47514226088831935,16.58396173833387,0.200176402926445,0.23688118159770966,0.5916810631752014,0.00025953132987271656,0.0,0.0,0.49723712408430076,1.2714154615104423,3.972253386983005,2.7998101780813025,2.0223170868712788,False
Slc40a1,ENSMUSG00000025993,1,45926523,45908068,-,-0.0018,1.8887305483349973e-11,0.09854163358923573,178,0.6265667676925659,1.6760064355586104,20.334398381769148,1.1356155181234944,2.026998452555853,0.04187057688832283,0.02417677640914917,0.27908480167388916,7.087743620953782e-23,0.0,0.0,0.375871721114674,0.07691021772490816,0.6704285630458516,0.6431055774034707,0.5676837662649782,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,0.048,-4.6303121463864085e-11,0.4218500513813947,5928,-0.39190638065338135,,,,,,,,,,,,,,,,False
9330175M20Rik,ENSMUSG00000101799,1,51333779,51218386,-,0.0121,-9.694238923153652e-13,0.0034063402710378084,2531,-0.02529752254486084,,,,,,,,,,,,,,,,False
1700072G22Rik,ENSMUSG00000101702,1,51458931,51457932,-,0.0038,5.964766415115359e-13,0.01138398813730376,4,0.0,,,,,,,,,,,,,,,,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0595,2.288624638373352e-11,0.2149416815534181,1518,-0.9064821004867554,,,,,,,,,,,,,,,,False
Gm17767,ENSMUSG00000099413,1,51596718,51507086,-,-0.0057,-1.937948282493564e-12,0.0470731148228911,77,-0.039418578147888184,,,,,,,,,,,,,,,,False
Gm28055,ENSMUSG00000101741,1,51746943,51696324,-,0.0088,-1.492817407980841e-13,0.006636207118847867,377,-0.8770893812179565,,,,,,,,,,,,,,,,False
Myo1b,ENSMUSG00000018417,1,51916071,51749765,-,0.0558,2.3916742692678508e-11,0.43466682686402264,6044,0.30161529779434204,0.37981747198919663,0.4857225694167779,0.324871127378522,9.492081573398407,0.42345934465527535,0.2137790322303772,0.23853670060634613,0.3049984884980001,0.0,0.0,0.2877484934286411,0.6195205233889872,0.6990122875391409,0.6122446876933623,2.2972158709308204,True
Gm31812,ENSMUSG00000109599,1,52113751,52108121,-,-0.0158,-6.6136330275574014e-12,0.05948941038121158,132,-0.05034804344177246,,,,,,,,,,,,,,,,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0352,8.916388538823936e-12,0.5155530399725359,8200,-0.3801339864730835,,,,,,,,,,,,,,,,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0957,1.2923944945894906e-10,0.5468382405528905,8210,-0.0023725032806396484,,,,,,,,,,,,,,,,False
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0867,8.081681722159141e-11,0.43262378333592205,5211,0.1994304060935974,0.25855019195330853,0.5630176126753638,0.285198152032044,13.679673022757477,0.9046154118246501,0.16920681297779083,0.22549717128276825,0.20519496053009134,0.0,0.0,0.4192922647465814,0.4945352666570208,0.8485858609321817,1.2823854791187888,2.4853672104814013,True
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.044,4.370765501409592e-11,0.3265195969460415,3790,-0.11840200424194336,,,,,,,,,,,,,,,,False
1700019D03Rik,ENSMUSG00000043629,1,53020179,52922324,-,0.0103,-2.2917007467582623e-12,0.11913406999763372,284,0.7395808398723602,0.7395668007907412,1.9387172748300174,0.38552240476478317,4.437464383626467,0.14187173277139667,0.11994060128927231,0.39311832189559937,0.20050686270598564,0.0,0.0,0.3863206430576922,0.2720657055849809,0.8667755043374952,0.42088375419758056,1.5542674998923285,True
1700019A02Rik,ENSMUSG00000060715,1,53187636,53158577,-,-0.0059,2.012784912391703e-12,0.01499866394792156,135,-0.7844778299331665,,,,,,,,,,,,,,,,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,-0.0016,-1.0089635502506175e-11,0.2183408391600845,1769,-0.8703075647354126,,,,,,,,,,,,,,,,False
Asnsd1,ENSMUSG00000026095,1,53352752,53344617,-,0.0087,1.5024866892546828e-12,0.46368683298830976,7474,-0.003980755805969238,,,,,,,,,,,,,,,,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.0782,2.1643306339455652e-12,0.4029687386093657,5101,0.15647435188293457,0.1659987529371797,1.0123861945306472,0.20663218932971755,11.392350336863554,0.3565150170276563,0.05957137048244476,0.19786664843559265,0.2057295877950147,0.0,0.0,0.3397557191182763,0.18054800764302567,0.6716825689413939,1.2805526627562576,3.2808682430653455,True
Hecw2,ENSMUSG00000042807,1,54195168,53806876,-,0.0131,6.075314060198078e-13,0.047300229556729564,82,-0.015071630477905273,,,,,,,,,,,,,,,,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0204,4.4211367762125e-11,0.3352434525329238,4105,-0.2902318239212036,,,,,,,,,,,,,,,,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,0.0374,2.362451239611202e-11,0.1916163723080002,1278,-0.24428439140319824,,,,,,,,,,,,,,,,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0614,-1.2427477875038094e-11,0.07703806491009994,223,-0.6111688613891602,,,,,,,,,,,,,,,,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.0662,-9.867458767986668e-11,0.5077578398323749,8618,-0.09298408031463623,,,,,,,,,,,,,,,,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.185,4.04717331857507e-11,0.47716980539909126,8255,0.025224149227142334,,,,,,,,,,,,,,,,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,0.0981,3.22991380415594e-12,0.025161724949230576,23,-0.040349602699279785,,,,,,,,,,,,,,,,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,0.0085,2.1893240145729625e-13,0.007396069639013545,3,-0.0797802209854126,,,,,,,,,,,,,,,,False
Satb2,ENSMUSG00000038331,1,56978650,56793981,-,-0.0238,4.085071935161037e-11,0.18054603691065868,1174,-3.0895557403564453,,,,,,,,,,,,,,,,False
4930558J18Rik,ENSMUSG00000097519,1,57377544,57359222,-,-0.0043,-5.2140037124231606e-12,0.10554653497645378,442,-0.2191143035888672,,,,,,,,,,,,,,,,False
