source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
P/Y	P/Y	Bmp4	BMPR1B_ACVR2B	4.603113546173019e-5	0	BMP4_BMPR1B_ACVR2B	Bmp4  - (Bmpr1b+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp4	BMPR1B_BMPR2	1.0168699855718945e-4	0	BMP4_BMPR1B_BMPR2	Bmp4  - (Bmpr1b+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp5	ACVR1_BMPR2	4.391684393828522e-5	0	BMP5_ACVR1_BMPR2	Bmp5  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp5	ACVR1_BMPR2	3.877447716987237e-5	0	BMP5_ACVR1_BMPR2	Bmp5  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	ACVR1_BMPR2	5.737177355548409e-5	0	BMP5_ACVR1_BMPR2	Bmp5  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp5	BMPR1A_ACVR2A	4.835444547920697e-5	0	BMP5_BMPR1A_ACVR2A	Bmp5  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp5	BMPR1A_ACVR2A	3.5902665602733794e-5	0	BMP5_BMPR1A_ACVR2A	Bmp5  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	BMPR1A_ACVR2A	3.264662790501198e-5	0	BMP5_BMPR1A_ACVR2A	Bmp5  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp5	BMPR1A_ACVR2B	3.961103736123255e-5	0	BMP5_BMPR1A_ACVR2B	Bmp5  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp5	BMPR1A_ACVR2B	2.9538259560603273e-5	0	BMP5_BMPR1A_ACVR2B	Bmp5  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	BMPR1A_ACVR2B	2.8521399274214555e-5	0	BMP5_BMPR1A_ACVR2B	Bmp5  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp5	BMPR1A_BMPR2	7.224762027807313e-5	0	BMP5_BMPR1A_BMPR2	Bmp5  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp5	BMPR1A_BMPR2	5.364051818215113e-5	0	BMP5_BMPR1A_BMPR2	Bmp5  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	BMPR1A_BMPR2	6.300777297769067e-5	0	BMP5_BMPR1A_BMPR2	Bmp5  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	BMPR1B_ACVR2A	3.2884940179636224e-5	0	BMP5_BMPR1B_ACVR2A	Bmp5  - (Bmpr1b+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	BMPR1B_ACVR2B	2.8729599304058036e-5	0	BMP5_BMPR1B_ACVR2B	Bmp5  - (Bmpr1b+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp5	BMPR1B_BMPR2	6.346769944402095e-5	0	BMP5_BMPR1B_BMPR2	Bmp5  - (Bmpr1b+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp6	ACVR1_BMPR2	1.5107420828159308e-5	0	BMP6_ACVR1_BMPR2	Bmp6  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp6	ACVR1_BMPR2	1.333840197093547e-5	0	BMP6_ACVR1_BMPR2	Bmp6  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	ACVR1_BMPR2	1.9736115686954447e-5	0	BMP6_ACVR1_BMPR2	Bmp6  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp6	BMPR1A_ACVR2A	1.6634007951228225e-5	0	BMP6_BMPR1A_ACVR2A	Bmp6  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp6	BMPR1A_ACVR2A	1.2350476043090174e-5	0	BMP6_BMPR1A_ACVR2A	Bmp6  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	BMPR1A_ACVR2A	1.1230378960279108e-5	0	BMP6_BMPR1A_ACVR2A	Bmp6  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp6	BMPR1A_ACVR2B	1.3626181410165862e-5	0	BMP6_BMPR1A_ACVR2B	Bmp6  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp6	BMPR1A_ACVR2B	1.0161083686996131e-5	0	BMP6_BMPR1A_ACVR2B	Bmp6  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	BMPR1A_ACVR2B	9.81128041691631e-6	0	BMP6_BMPR1A_ACVR2B	Bmp6  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp6	BMPR1A_BMPR2	2.485369730779009e-5	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp6	BMPR1A_BMPR2	1.8452499463624287e-5	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	BMPR1A_BMPR2	2.167500497601568e-5	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	BMPR1B_ACVR2A	1.1312359776042541e-5	0	BMP6_BMPR1B_ACVR2A	Bmp6  - (Bmpr1b+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	BMPR1B_ACVR2B	9.882902039890267e-6	0	BMP6_BMPR1B_ACVR2B	Bmp6  - (Bmpr1b+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp6	BMPR1B_BMPR2	2.1833228946694457e-5	0	BMP6_BMPR1B_BMPR2	Bmp6  - (Bmpr1b+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Gdf11	TGFBR1_ACVR2A	1.1147281147112358e-5	0	GDF11_TGFBR1_ACVR2A	Gdf11  - (Tgfbr1+Acvr2a)	GDF	Secreted Signaling	KEGG: mmu04350
P/Y	A2	Gdf11	TGFBR1_ACVR2A	8.106281625717892e-6	0	GDF11_TGFBR1_ACVR2A	Gdf11  - (Tgfbr1+Acvr2a)	GDF	Secreted Signaling	KEGG: mmu04350
P/Y	P/Y	Gdf11	TGFBR1_ACVR2A	8.13253162161542e-6	0	GDF11_TGFBR1_ACVR2A	Gdf11  - (Tgfbr1+Acvr2a)	GDF	Secreted Signaling	KEGG: mmu04350
P/Y	A/N	Gdf11	TGFBR1_ACVR2B	9.131576383063749e-6	0.01	GDF11_TGFBR1_ACVR2B	Gdf11  - (Tgfbr1+Acvr2b)	GDF	Secreted Signaling	KEGG: mmu04350
P/Y	A2	Gdf11	TGFBR1_ACVR2B	6.669260141950331e-6	0.01	GDF11_TGFBR1_ACVR2B	Gdf11  - (Tgfbr1+Acvr2b)	GDF	Secreted Signaling	KEGG: mmu04350
P/Y	P/Y	Gdf11	TGFBR1_ACVR2B	7.104881570391572e-6	0	GDF11_TGFBR1_ACVR2B	Gdf11  - (Tgfbr1+Acvr2b)	GDF	Secreted Signaling	KEGG: mmu04350
A2	P/Y	Wnt3	FZD2_LRP5	9.202688198518009e-7	0	WNT3_FZD2_LRP5	Wnt3  - (Fzd2+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	A/N	Wnt3	FZD3_LRP5	3.433781574103407e-6	0	WNT3_FZD3_LRP5	Wnt3  - (Fzd3+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	A2	Wnt3	FZD3_LRP5	2.6714167157748676e-6	0	WNT3_FZD3_LRP5	Wnt3  - (Fzd3+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD3_LRP5	8.496409378992905e-7	0.02	WNT3_FZD3_LRP5	Wnt3  - (Fzd3+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD4_LRP5	1.3920204117430577e-6	0	WNT3_FZD4_LRP5	Wnt3  - (Fzd4+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	A2	Wnt3	FZD6_LRP5	1.1735037199269405e-6	0	WNT3_FZD6_LRP5	Wnt3  - (Fzd6+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD7_LRP5	1.5480282493493428e-6	0	WNT3_FZD7_LRP5	Wnt3  - (Fzd7+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD8_LRP5	4.552796507860404e-7	0	WNT3_FZD8_LRP5	Wnt3  - (Fzd8+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD2_LRP5	3.972337591050605e-6	0	WNT4_FZD2_LRP5	Wnt4  - (Fzd2+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	A/N	Wnt4	FZD3_LRP5	1.4821781188489241e-5	0	WNT4_FZD3_LRP5	Wnt4  - (Fzd3+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	A2	Wnt4	FZD3_LRP5	1.1531094856932305e-5	0	WNT4_FZD3_LRP5	Wnt4  - (Fzd3+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD3_LRP5	3.6674734251350705e-6	0.01	WNT4_FZD3_LRP5	Wnt4  - (Fzd3+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD4_LRP5	6.008642353644133e-6	0	WNT4_FZD4_LRP5	Wnt4  - (Fzd4+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	A2	Wnt4	FZD6_LRP5	5.0654210964017165e-6	0	WNT4_FZD6_LRP5	Wnt4  - (Fzd6+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD7_LRP5	6.682045126025615e-6	0	WNT4_FZD7_LRP5	Wnt4  - (Fzd7+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD8_LRP5	1.9652163254936505e-6	0	WNT4_FZD8_LRP5	Wnt4  - (Fzd8+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD2_LRP6	2.99526651139765e-6	0	WNT3_FZD2_LRP6	Wnt3  - (Fzd2+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	A/N	Wnt3	FZD3_LRP6	8.1295558441663e-6	0	WNT3_FZD3_LRP6	Wnt3  - (Fzd3+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	A2	Wnt3	FZD3_LRP6	5.994248680082383e-6	0	WNT3_FZD3_LRP6	Wnt3  - (Fzd3+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD3_LRP6	2.7653892008730657e-6	0.02	WNT3_FZD3_LRP6	Wnt3  - (Fzd3+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD4_LRP6	4.530706206950045e-6	0	WNT3_FZD4_LRP6	Wnt3  - (Fzd4+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	A2	Wnt3	FZD6_LRP6	2.6331669592533447e-6	0	WNT3_FZD6_LRP6	Wnt3  - (Fzd6+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD7_LRP6	5.0384740432281145e-6	0	WNT3_FZD7_LRP6	Wnt3  - (Fzd7+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
A2	P/Y	Wnt3	FZD8_LRP6	1.4818336798774472e-6	0	WNT3_FZD8_LRP6	Wnt3  - (Fzd8+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD2_LRP6	1.2928968364762291e-5	0	WNT4_FZD2_LRP6	Wnt4  - (Fzd2+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	A/N	Wnt4	FZD3_LRP6	3.509034450130045e-5	0	WNT4_FZD3_LRP6	Wnt4  - (Fzd3+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	A2	Wnt4	FZD3_LRP6	2.5873717333615513e-5	0	WNT4_FZD3_LRP6	Wnt4  - (Fzd3+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD3_LRP6	1.1936719850778595e-5	0	WNT4_FZD3_LRP6	Wnt4  - (Fzd3+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD4_LRP6	1.9556541474825024e-5	0	WNT4_FZD4_LRP6	Wnt4  - (Fzd4+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	A2	Wnt4	FZD6_LRP6	1.136599231835579e-5	0	WNT4_FZD6_LRP6	Wnt4  - (Fzd6+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD7_LRP6	2.1748255853744792e-5	0	WNT4_FZD7_LRP6	Wnt4  - (Fzd7+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt4	FZD8_LRP6	6.396318499881906e-6	0	WNT4_FZD8_LRP6	Wnt4  - (Fzd8+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147
P/Y	P/Y	Wnt5a	Fzd2	4.1528782843806963e-7	0	WNT5A_FZD2	Wnt5a  - Fzd2	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	A/N	Wnt5a	Fzd3	3.3673317437905752e-6	0	WNT5A_FZD3	Wnt5a  - Fzd3	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	A2	Wnt5a	Fzd3	1.7238056790200866e-6	0	WNT5A_FZD3	Wnt5a  - Fzd3	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	P/Y	Wnt5a	Fzd3	3.539896884642831e-7	0	WNT5A_FZD3	Wnt5a  - Fzd3	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	P/Y	Wnt5a	Fzd4	9.501915739854948e-7	0	WNT5A_FZD4	Wnt5a  - Fzd4	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	A2	Wnt5a	Fzd6	3.3263908181619597e-7	0	WNT5A_FZD6	Wnt5a  - Fzd6	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	P/Y	Wnt5a	Fzd7	1.175107965130751e-6	0	WNT5A_FZD7	Wnt5a  - Fzd7	ncWNT	Secreted Signaling	KEGG: mmu04310
P/Y	P/Y	Wnt5a	Fzd8	1.0164265379263847e-7	0	WNT5A_FZD8	Wnt5a  - Fzd8	ncWNT	Secreted Signaling	KEGG: mmu04310
A2	A2	Tgfa	Egfr	1.224027875351806e-5	0	TGFA_EGFR	Tgfa  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
A2	P/Y	Tgfa	EGFR_ERBB2	8.26720305872612e-7	0	TGFA_EGFR_ERBB2	Tgfa  - (Egfr+Erbb2)	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	A2	Areg	Egfr	2.3712204131423397e-5	0	AREG_EGFR	Areg  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	P/Y	Areg	EGFR_ERBB2	1.60156241137376e-6	0	AREG_EGFR_ERBB2	Areg  - (Egfr+Erbb2)	EGF	Secreted Signaling	KEGG: mmu04012
A/N	A2	Hbegf	Egfr	2.1381062190262903e-5	0.01	HBEGF_EGFR	Hbegf  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	A2	Hbegf	Egfr	1.2133753977792095e-4	0	HBEGF_EGFR	Hbegf  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
A/N	P/Y	Hbegf	EGFR_ERBB2	1.4441099989604226e-6	0	HBEGF_EGFR_ERBB2	Hbegf  - (Egfr+Erbb2)	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	P/Y	Hbegf	EGFR_ERBB2	8.1960889793036e-6	0.01	HBEGF_EGFR_ERBB2	Hbegf  - (Egfr+Erbb2)	EGF	Secreted Signaling	KEGG: mmu04012
A/N	A/N	Hbegf	Erbb4	7.3676571207966905e-6	0	HBEGF_ERBB4	Hbegf  - Erbb4	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	A/N	Hbegf	Erbb4	4.1814197661836067e-5	0	HBEGF_ERBB4	Hbegf  - Erbb4	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	A/N	Ereg	Egfr	2.9785563182394824e-6	0	EREG_EGFR	Ereg  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	A2	Ereg	Egfr	1.826902605723491e-5	0	EREG_EGFR	Ereg  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	P/Y	Ereg	Egfr	1.1076037210175199e-6	0	EREG_EGFR	Ereg  - Egfr	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	P/Y	Ereg	EGFR_ERBB2	1.2339146861122864e-6	0	EREG_EGFR_ERBB2	Ereg  - (Egfr+Erbb2)	EGF	Secreted Signaling	KEGG: mmu04012
P/Y	A/N	Ereg	Erbb4	6.2952740223416614e-6	0	EREG_ERBB4	Ereg  - Erbb4	EGF	Secreted Signaling	KEGG: mmu04012
A/N	A2	Nrg1	Erbb3	7.737900295692021e-5	0	NRG1_ERBB3	Nrg1  - Erbb3	NRG	Secreted Signaling	KEGG: mmu04012
A/N	A/N	Nrg1	Erbb4	1.0737271185731498e-4	0	NRG1_ERBB4	Nrg1  - Erbb4	NRG	Secreted Signaling	KEGG: mmu04012
A2	A/N	Nrg1	Erbb4	2.3691063555323995e-5	0	NRG1_ERBB4	Nrg1  - Erbb4	NRG	Secreted Signaling	KEGG: mmu04012
A2	A2	Nrg2	Erbb3	6.485023765859906e-5	0	NRG2_ERBB3	Nrg2  - Erbb3	NRG	Secreted Signaling	KEGG: mmu04012
A/N	A/N	Nrg2	Erbb4	7.445055243649735e-5	0	NRG2_ERBB4	Nrg2  - Erbb4	NRG	Secreted Signaling	KEGG: mmu04012
A2	A/N	Nrg2	Erbb4	8.998797392804344e-5	0	NRG2_ERBB4	Nrg2  - Erbb4	NRG	Secreted Signaling	KEGG: mmu04012
P/Y	P/Y	Fgf1	Fgfr1	1.1623594803742462e-5	0	FGF1_FGFR1	Fgf1  - Fgfr1	FGF	Secreted Signaling	PMC: 4393358
P/Y	A/N	Fgf1	Fgfr2	9.336869042183454e-6	0	FGF1_FGFR2	Fgf1  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
P/Y	A2	Fgf1	Fgfr2	1.3951888175686891e-5	0	FGF1_FGFR2	Fgf1  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
P/Y	P/Y	Fgf1	Fgfr2	1.976283672009139e-6	0.01	FGF1_FGFR2	Fgf1  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
P/Y	P/Y	Fgf1	Fgfr3	2.872881175246974e-7	0	FGF1_FGFR3	Fgf1  - Fgfr3	FGF	Secreted Signaling	PMC: 4393358
A2	P/Y	Fgf5	Fgfr1	6.191516117924879e-5	0	FGF5_FGFR1	Fgf5  - Fgfr1	FGF	Secreted Signaling	PMC: 4393358
A2	A/N	Fgf5	Fgfr2	4.973499860918588e-5	0	FGF5_FGFR2	Fgf5  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
A2	A2	Fgf5	Fgfr2	7.431648450051098e-5	0	FGF5_FGFR2	Fgf5  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
A2	P/Y	Fgf5	Fgfr3	1.5303667157650722e-6	0	FGF5_FGFR3	Fgf5  - Fgfr3	FGF	Secreted Signaling	PMC: 4393358
A2	P/Y	Fgf20	Fgfr1	1.1660774337408697e-5	0	FGF20_FGFR1	Fgf20  - Fgfr1	FGF	Secreted Signaling	PMC: 4393358
A2	A/N	Fgf20	Fgfr2	9.36673426366749e-6	0.02	FGF20_FGFR2	Fgf20  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
A2	A2	Fgf20	Fgfr2	1.3996514945053286e-5	0	FGF20_FGFR2	Fgf20  - Fgfr2	FGF	Secreted Signaling	PMC: 4393358
A2	P/Y	Fgf20	Fgfr3	2.882070552451087e-7	0	FGF20_FGFR3	Fgf20  - Fgfr3	FGF	Secreted Signaling	PMC: 4393358
P/Y	P/Y	Clcf1	CNTFR_LIFR	5.851318966784112e-7	0	CLCF1_CNTFR_LIFR	Clcf1  - (Cntfr+Lifr)	LIFR	Secreted Signaling	KEGG: mmu04060
A/N	P/Y	Spp1	Cd44	2.1263648012729747e-4	0	SPP1_CD44	Spp1  - Cd44	SPP1	Secreted Signaling	PMID: 21907263
A2	P/Y	Spp1	Cd44	2.7598783873014274e-4	0	SPP1_CD44	Spp1  - Cd44	SPP1	Secreted Signaling	PMID: 21907263
P/Y	P/Y	Spp1	Cd44	4.2159295318918984e-4	0	SPP1_CD44	Spp1  - Cd44	SPP1	Secreted Signaling	PMID: 21907263
A/N	P/Y	Spp1	ITGAV_ITGB1	2.4005091142326095e-4	0.04	SPP1_ITGAV_ITGB1	Spp1  - (Itgav+Itgb1)	SPP1	Secreted Signaling	PMID: 21907263
A2	P/Y	Spp1	ITGAV_ITGB1	3.115673799818898e-4	0	SPP1_ITGAV_ITGB1	Spp1  - (Itgav+Itgb1)	SPP1	Secreted Signaling	PMID: 21907263
P/Y	P/Y	Spp1	ITGAV_ITGB1	4.759345417491039e-4	0	SPP1_ITGAV_ITGB1	Spp1  - (Itgav+Itgb1)	SPP1	Secreted Signaling	PMID: 21907263
A/N	P/Y	Spp1	ITGAV_ITGB5	7.909385057628009e-5	0	SPP1_ITGAV_ITGB5	Spp1  - (Itgav+Itgb5)	SPP1	Secreted Signaling	PMID: 21907263
