Gene	SCLC-Y	SCLC-P	SCLC-N	SCLC-A2	SCLC-A	V1	V2	cluster	Subtype
SOX9	3.5217	4.1283	1.4644	2.0735	3.6314	-6.708203543935504	-3.177317001564162	1	SCLC-P
GAL	2.552	5.1601	3.0446	0.93525	0.1738	-6.212676276479449	-3.103327610237258	1	SCLC-P
LGALS3	5.7957	5.6121	0.58632	1.7774	0.98106	-10.478739966664996	0.04071815993104666	5	SCLC-Y
VSNL1	1.1111	3.4669	1.2451	0.27293	0.27857	-6.080280532155719	-3.086865284187453	1	SCLC-P
TRIM58	2.2422	3.9795	-0.45054	0.25137	0.028918	-6.020993460927691	-3.1336024782487324	1	SCLC-P
GSTP1	11.694	9.6871	3.6507	6.6011	6.0057	-10.193614234243121	-0.33898574922766	5	SCLC-Y
SPATS2L	7.6069	7.2056	2.3744	3.5205	3.298	-10.350933303151812	-0.29375562880720407	5	SCLC-Y
NEUROD1	-0.42597	-0.017221	9.1659	0.61552	1.1094	9.299986611093793	-2.108591415626662	3	SCLC-N
PPP1R17	-1.3138	-0.72408	7.1633	-0.43769	1.4271	9.04921794959477	-2.4084927818604878	3	SCLC-N
CERKL	0.52386	-0.16698	6.4138	-0.12867	1.7919	8.8114645583289	-2.5407019636460713	3	SCLC-N
OLFM1	4.4768	-1.931	7.8739	0.39443	3.6386	9.251758347238813	-2.462826230270522	3	SCLC-N
MFAP4	0.90318	-0.19332	7.1454	-0.60755	2.5115	8.959197769846234	-2.327808000785964	3	SCLC-N
ADCYAP1R1	-0.24291	0.75111000000000006	5.9557	-0.90777	0.52033	8.582060585703168	-1.972817160827773	3	SCLC-N
RBFOX3	1.8038	-1.3382	5.6811	-1.0462	1.6161	8.794509659494672	-2.4606158516236714	3	SCLC-N
NEUROD2	-0.76832	-0.018834	4.8983	-0.52029	0.42124	8.510578404154096	-2.239847757560866	3	SCLC-N
KCNJ3	-0.16025	1.032	5.138	1.061	0.013344	8.493191967691693	-1.8705161592790058	3	SCLC-N
KCNQ2	1.6324	-0.68825	8.2945	-0.58545	3.487	9.258488426889691	-2.3634104511567524	3	SCLC-N
PLCH2	-0.33727	-0.049227	4.7888	0.18967	0.10157	8.279711971964154	-2.295577981216567	3	SCLC-N
ZFPM2	1.338	0.43465	3.9444	-0.3019	-0.18649	8.301182041849408	-2.046358086807387	3	SCLC-N
TSPAN18	1.9224	0.11213	5.2634	0.47516	0.30903	8.580940495218549	-2.121170737487929	3	SCLC-N
SLC38A5	0.40287	1.5584	5.7828	0.32643	-0.51361	8.762056122507367	-1.81938085768904	3	SCLC-N
NHLH2	-0.73553	-0.54931	4.8979	-0.47031	1.3651	8.306165943826947	-2.3581067106553486	3	SCLC-N
CTNND2	-0.34478	2.9026	5.2089	-0.27668	2.0395	8.846487770761762	-1.7737039110490254	3	SCLC-N
CNTN1	0.42859	2.8731	6.3774	2.7066	1.5127	8.928582440103803	-1.929877855522292	3	SCLC-N
ANGPTL2	0.5324	0.042387	5.1663	0.21428	0.36856	8.401337872232709	-2.080862619621413	3	SCLC-N
SSTR2	-0.51676	-0.35754	5.7911	-0.29687	1.7668	8.713503609384809	-2.4792758009263447	3	SCLC-N
NEUROD6	-0.57039	-0.54695	3.9694	-0.66749	0.15551	8.139004955972943	-2.323054411155837	3	SCLC-N
CAMKV	-0.5851	1.7505	7.5502	0.94865	2.0257	9.135751496042523	-1.9829422018357685	3	SCLC-N
CEACAM5	-0.42807	0.25531	-1.1734	10.196	2.181	2.322358499254499	3.384923122184617	2	SCLC-A2
GRP	-0.32252	-2.8262	0.067208	11.566	5.3429	2.4030287367956977	3.0650478818586895	2	SCLC-A2
CALCA	1.7273	1.8423	-1.2616	8.8539	-0.26796	1.5933244330542427	3.135199210899217	2	SCLC-A2
MS4A8	-2.5551	-0.5976	-0.30704	8.5555	4.2665	2.3060568673270088	3.197009942787034	2	SCLC-A2
KLK12	0.033122	2.4551	-1.9278	6.1025	1.4766	1.7711044652121406	3.215056798713548	2	SCLC-A2
FAM3B	-0.59973	2.2283	-1.3941	8.5565	2.8542	2.1356228692190986	3.3976973512343	2	SCLC-A2
ELF3	0.99112	5.0393	-1.432	10.15	4.2206	2.728384743418012	3.3471032598188946	2	SCLC-A2
TMEM176A	-0.73702	0.31911	0.50648	8.6316	3.3292	2.3088094098227363	3.045844457404954	2	SCLC-A2
TSPAN8	1.6806	0.79767	-0.88474	7.4103	0.95123	1.7443580729620796	2.8625563600233623	2	SCLC-A2
KLK11	0.58332	2.3062	-2.0979	6.2501	2.7545	1.8583461148398261	3.351547858970506	2	SCLC-A2
AOC1	0.10468	0.57595	-0.86136	4.0944	-0.021942	1.4850516421454292	2.895991466300828	2	SCLC-A2
ASCL1	-1.0822	-0.19909	0.58998	12.033	9.2147	2.6475722891943794	3.0144773938826153	2	SCLC-A2
SCIN	-0.56721	3.1436	0.094798	7.1789	1.316	1.8635143143790107	3.2496558644941875	2	SCLC-A2
TSPAN1	2.3459	-0.64992	0.24273	7.6239	1.5951	1.8428635699408393	2.803748510139329	2	SCLC-A2
SLPI	3.7459	0.49572	-1.3046	3.6047	0.78163	1.3831698996680122	2.8206540563276836	2	SCLC-A2
TMEM176B	0.022266	-0.37422	0.55532	8.3282	2.9026	2.2176493508475166	2.935744188087327	2	SCLC-A2
SKAP1	0.88322	0.39587	0.046765	6.5141	0.22634	1.7543892962591987	2.926991842048509	2	SCLC-A2
WFDC2	1.7291	2.951	0.33144	8.1541	7.0524	2.856578479494367	3.339043042915208	2	SCLC-A2
NPTX1	2.2112	0.26393	4.5616	7.1404	2.0665	1.9797102315085273	2.7532574155500957	2	SCLC-A2
SCNN1A	-2.0203	4.5906	-0.8618	9.0875	7.2074	2.963300655569349	3.2138864019087383	2	SCLC-A2
GJB1	-1.1905	0.42114	-0.76375	6.0732	0.72306	1.8281493289130073	2.984578511970384	2	SCLC-A2
SOX1	-2.1683	0.63552	0.46745	2.1781	7.9988	6.547369967188153	0.7721761682203838	4	SCLC-A
ISL1	-1.758	0.63624	2.145	2.4565	9.0762	6.580375204767499	0.4329028346708843	4	SCLC-A
GHRH	-1.0058	1.5844	-0.61249	0.33358	7.6623	6.613432894434247	0.886290095107896	4	SCLC-A
TAGLN3	-3.3417	0.61717	5.8646	5.7284	10.148	6.566101322855268	0.28340562369142264	4	SCLC-A
PCP4	-0.94118	1.1919	2.5464	5.4188	8.5112	6.395520458902631	0.4561436393431255	4	SCLC-A
SHD	-0.75616	-2.0099	4.7931	-0.2757	5.6595	7.287563095773969	0.04751022841249197	4	SCLC-A
FLI1	-1.1804	1.5627	-0.25307	2.8397	3.7234	6.711793909754071	1.339733264701707	4	SCLC-A
MBNL3	-0.74299	3.0323	1.5532	3.0135	6.5849	6.520070801462445	0.965089938896043	4	SCLC-A
CD200	-2.5674	0.63152	3.8387	1.2734	6.9214	7.02543545791081	0.302383742587907	4	SCLC-A
RASSF6	-1.5437	4.7014	-0.77548	5.9615	6.0433	3.103322694982801	3.101679227607591	2	SCLC-A2
ILDR2	-1.0657	0.24118	1.0086	2.1736	5.0019	6.898460159982953	1.1003433683088848	4	SCLC-A
NNAT	0.38655	1.3378	2.1984	0.92599	4.4324	7.273781548227582	0.7641412236860821	4	SCLC-A
PTN	2.6114	-2.1148	1.8589	1.9278	6.457	7.10189653464726	0.8605333783796856	4	SCLC-A
ELAVL3	-1.4184	-0.95617	6.3443	3.7381	8.3074	6.895053873743329	0.1452908733061382	4	SCLC-A
TCEAL2	-0.35834	-1.6845	4.6971	1.0438	8.0335	7.117152939523969	0.34079315449510306	4	SCLC-A
NSG1	-0.26946	3.2472	4.4805	0.70331	6.8666	6.904218207086835	0.587991378562791	4	SCLC-A
RBP1	1.0576	2.131	5.8039	4.7623	9.1539	6.545748482431684	0.3617692806891033	4	SCLC-A
DCX	-2.228	-1.706	5.732	0.28574	5.7414	7.150856981958661	0.041163585441453154	4	SCLC-A
AVP	-0.5846	-0.41787	0.14517	-0.040752	1.5476	7.0280492407935	1.2559418895414898	4	SCLC-A
GAD2	-1.1116	-1.0743	0.91298	2.7631	5.2048	6.941334496225629	0.7857659080198833	4	SCLC-A
FGD3	-1.093	1.4648	0.30084	2.409	5.2268	6.811314116205487	1.0475242355040142	4	SCLC-A
